original_index,text,product_title,price,rating,content_hash,info_complete,is_actionable,complaint_category,resolution_recommendation,quality_status,model_id
32811,"This product is awful.  First the battery died after about 2 weeks.  I replaced it.  Then it died again.  I replaced it again.  The light began to fade faster after operation.  Pretty soon it dimmed to the point of uselessness.  So, I tried YET AGAIN with a new battery.  Same problem.  I'm glad it's discus shaped, because it helped me Frisbee-flip it straight into the garbage can.  Never again will a SOI product SOIl my purse or my briefcase.  The larger one, excellent product.  The mini?  Forget it, and save your money.","SOI. Mini  Smart Light for Handbag, LED, White",21.99,1.0,ffa3179d51ace449172d2af5752bd79dab53ee1e56b8b7af6bc3b31533ed4796,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
7466,I got a necklace when it clearly said a bracelet  =(,Smiling Wisdom - Aqua Starfish Story Stretch Bracelet Gift Set - You Make a Profound Difference - Friend Teacher Volunteer Caregiver Essential Worker - Woman Teen Teenage Girl - Appreciation - Aqua Blue Elastic Stretch - Small - Medium,20.99,1.0,a6b6691fc204df2514bfae393cff4b1c75b2e786e9bcd79c6f6507cda2a89f98,1,1,Wrong or Incomplete Order,Resend,PROCESSED,gemini-2.5-pro
62744,cheap products,BSTANG Wolf Fox Tail and Clip Ears Kit Halloween Costume Accessories Toys Gift,27.45,1.0,9e8810e5b1dec500e3dc5e94de8af13e5cc75ba0989d1801232f61f747fe9195,0,0,N/A,N/A,PROCESSED,gemini-2.5-pro
42246,It arrived with brown spots.,BASICO Winter Infinity Scarfs for Women Warm Knit Plaid Infinity Scarf Circle Loop Scarves,14.99,1.0,9567cc2516097eaea03a9ab62ae6807df74aceb2f804d8ff3a503181f1f738a0,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
40763,"If you have no intentions of moving or doing anything at all, these feel nice I guess. In every other aspect of being gloves they're underwhelming.",OZERO Waterproof Winter Gloves Men Women -30 	 Cold Proof Touchscreen Anti Slip Silicon Palm - Heated Glove Thermal for Driving Cycling Motorcycle in Cold Weather Warmest Gifts for Dad,29.96,1.0,ea5d0e44f71a8681be527daeaa71f4b3c234924fb26df044b997e917728cbe1d,0,0,N/A,N/A,PROCESSED,gemini-2.5-pro
62797,Packaging says they are 22mm. They are not. They are more like 18mm.,"BARTON WATCH BANDS - Quick Release Spring Bars (Watch Pins) - Choice of Width 16, 18, 19, 20, 21, 22, 23 or 24mm",9.99,1.0,aca58860f773b2f7e50e90bd9862b69741585b15f41a9fbd3c5bae751472e225,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
61312,"It was a gift for my Grandson in Nebraska for Christmas, it came with a cord but no charger = very disappointed =","Accutime Kids DC Comics Batman Black Educational Learning Touchscreen Smart Watch Toy for Boys, Girls, Toddlers - Selfie Cam, Learning Games, Alarm, Calculator, Pedometer & More (Model: BAT4740)",29.98,1.0,15dd10f41a8b4c2c1f22042e641eb4eb55930ef0032edd0735c8e75b2d1abc40,1,1,Wrong or Incomplete Order,Resend,PROCESSED,gemini-2.5-pro
44641,"Not waterproof at all. After a snow storm we had, and extensive use in the snow the gloves were wet. Touch screen does not respond when touched with gloves.<br />They should really alter the description. Very deceiving.",OZERO Waterproof Winter Gloves Men Women -30 	 Cold Proof Touchscreen Anti Slip Silicon Palm - Heated Glove Thermal for Driving Cycling Motorcycle in Cold Weather Warmest Gifts for Dad,29.96,1.0,83672c397d698a1672a19ee21b369c53759f9aa813e2e28e3580a1a6023e1ada,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
63361,Not very good quality,Mens Stainless Steel Mesh Strap Chronograph Waterproof Quartz Silver Wrist Watch with Analog Display,59.99,2.0,5b19a72b43b3543d72e1f4d589aa27c55309b1cd698810cb63571a46ec36138c,0,0,N/A,N/A,PROCESSED,gemini-2.5-pro
55375,"Loved the little key chain, however the little metal ring bent and broke the very first day and now the keychain is useless.","Hand Trades Saltwater Heals Everything- Aluminum Key Chain and Ring-Beach Gifts, Nautical, Summer Fun",14.95,1.0,03453275c321e877b2f37cbda9207f1db0d99a070ac32fd44fb36a2dd16d40c2,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
17994,Thin material. Easily rips,Disposable Boot Covers Plastic Long Waterproof Shoes Cover Over The Knee Shoes Cover for Men Women,12.99,2.0,26f3866e994c1a7b04b3c4050be58da1dd814b674c8bbbed85f62b84877eb94d,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
34258,"I don't know why I ever think things are going to look like the picture, these came vacuum sealed and they're super ugly and floppy. I'm gonna have to steam them to get the wrinkles out",Zhanmai 2 Pieces Funny Hat Pizza Hamburger Hat Cowboy Hat Fun Crazy Hats Halloween Costume Accessory Pizza Party Supplies Decorations Silly Hats for Adults Festival Food,18.99,2.0,1138e8f19e132a6f2f3bff67bffc95c4e53770d5a260b9c256f18141139a5bb1,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
44866,the foam was a good idea with the grooves but they are too ridged to get a good seal around the face. they scratch way too easily. Were completely useless after one ware.,Owl Set of 3 Pairs Motorcycle Padded Foam Glasses Smoke Yellow or Clear Lens,8.99,1.0,31854e1f2b364ea323e0ca72cb2d3d8cc0d897336d1c6d597b849379dfb9d4e5,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
16375,"SHAMEFULLY shoddy and sub par quality.  Description is false.  This is NOT plush terry cloth.  This is NOT super absorbent.  This is NOT heavyweight.  It feels like it is made from disposable wipes.  It is a criminal waste of resources to manufacture, package, and ship this item!",Red Lion Printed Headbands (Flag - One Size),8.99,1.0,f28fb3d7ab2e652009f8e5cfccbdb7c35ed7ebb68accc961677719d4966018df,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
64965,"At the time the package was delivered I was out of country on business trip, however upon return yesterday, I did try them on and come to find out that even though the packaging indicated new item (not returned), one was about 2"" shorter than the other one! Return date has already expired and overall I'm not satisfied with the item.",Copper Fit Energy Unisex Easy-On/Easy-Off Knee High Compression Socks,11.88,1.0,a6a865aab82e55b2fbce98850a12c8f41393a00efa214130cab0d2e3bbbc0cff,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
12442,"I dont know what alien hand they used to create the pattern for these gloves, but they dont feel like they were made for a human. thunb too short, index and middle fingers too long. Thumb to tight, rest of the fingers too loose. I returned.",OZERO Waterproof Winter Gloves Men Women -30 	 Cold Proof Touchscreen Anti Slip Silicon Palm - Heated Glove Thermal for Driving Cycling Motorcycle in Cold Weather Warmest Gifts for Dad,29.96,1.0,10c096b6b05bfd0931418d647fb1bd75a8723b2a6e5a458631aeace4f4c62fdc,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
52831,I had to return it. Doesn't fit the 38 mm correctly. Color pattern is beautiful though,38mm 40mm 42mm 44mm Band Replacement for Watch Leather Iwatch Strap Replacement Band with Stainless Metal Classic Buckle for Apple Watch Series 5 4 3 2 1 Ladies,11.99,1.0,5be14fbeea23abf57a534ccc93e931e8e3dba00c1cb850077e0bbdda7dbd33ab,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
52060,What I dislike about these tank tops is that they are not made as thick as they used to be. These newer type of tank tops are very thin and Im sure theyre going to stretch out very easily after a few washes. Im going to stop ordering tank tops from the brand name Different Touch. I also noticed that they are now made in a different country.,"Different Touch Men's G-unit Style Tank Tops Square Cut Muscle Rib A-Shirts, Pack of 2",21.99,1.0,614e0f4d00089a42ffbc85895043aee69a31101fae902183881b1c4276a3bdf9,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
65332,"The product came completely hardened in the jar. I had to use the end of a comb to break the product up in order to get any product out. I loved the results after spending over 5 mins. breaking out the product for usage; but, its a pain! I want to be able to just scoop it out like other scrubs. It seemed like the oil may have leaked out during shipping as the wrapping was covered in oil when I pulled the product out of the packaging.","English Rose Body Scrub - Moisturizing Stem Cell, Saffron, Biotin, Collagen & Nourishing Body Oils - Exfoliating Salt Scrub For Body & Face -Win Against Aging, Dry Skin, Stretch Marks, Cellulite, Acne & Dead Skin Scars- 10 oz",9.95,2.0,44cddcb432c5b674ea8ce0562e250623019c60354502150707fb2c53e8b38717,1,1,Damaged or Defective,Full Refund,PROCESSED,gemini-2.5-pro
10871,Very cheap quality not worth the money,NELEUS Dry Fit Workout Athletic Muscle Tank with Hoods Pack of 3,27.89,1.0,f16b5c42ada5e5a73b28ebbdbdfa950f239568c2aefded6a21a4c2aa78c07a3b,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
17586,Bought the shoes end of Sept. 2018 and they were as advertised until the insides began to cut into my feet after 4 months  of daily use. I had to buy Dr. Scholl's plantar fasciitis inserts to wear them again.,"Orthofeet Innovative Orthopedic Slippers for Men - Ideal for Plantar Fasciitis, Foot & Heel Pain Relief. Arch Support Slippers, Cushioning Ergonomic Sole & Extended Widths - Asheville",120.0,2.0,f0ff389b335875ee79fa82b7ea7f8c5a841647fc32d995a60b7cf15e3fa6f0a7,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
63209,A Youth XL is closer to a Youth Medium.,A4 Boy's Lacrosse Reversible Practice Jersey,9.01,1.0,36af4125819908b10cdbf66ee3f7192f1842eb0d62d572b59ed54e2f58a755c5,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
24902,"Too small, I returned w/o any issues.",EOSIEDUR Women's Two Piece Outfits Zip Top Jacket and Elastic Waistband Pant Women Sweatsuit Tracksuit Sets,36.99,1.0,94f72b4ff3e5565d87ec3d9b13dce7c2a3b0b1e8680c5bf18f60b013986408a9,1,0,N/A,N/A,PROCESSED,gemini-2.5-pro
3462,Horrible bra and super small. I ordered a D cup and ended up giving to my 9 year old niece who is in training bras and it fit her perfect. Will NOT be reordering!,"Plus Size Bras for Women,Comfortable Front Closure Push Up Bra High Impact Bra Comfy Support Everyday Underwear (A-Pink, XXL)",9.98,1.0,4b1ff6346694f7c4671be35a1674cddcddd7ff83b4bf9ae911274842d4e73529,1,1,Incorrect Size / Fit,Full Refund,PROCESSED,gemini-2.5-pro
38636,Awkward fit&.I really wanted to love this suit but had to return.,"Michael Michael Kors Plus Size High-Neck Keyhole Tummy-Control One-Piece Swimsuit, Black,16W",29.7,1.0,21f0313ff775d0dc80721e8fe53b6111b00e77a820f7b7cf40e410171c01a718,1,0,N/A,N/A,PROCESSED,gemini-2.5-pro
26223,This set is extremely cheap and thin! Not to mention it was three sized to small on me! I would not recommend this set to anyone,2 Piece Outfits for Women Velour Tracksuits Sweatsuits Set Long Sleeve Crop Tops Jackets and Flared Long Pant Sets,29.99,1.0,ebb17680a48152ca2ab43e8b5de7769f3b3efe90839dd637a2281b69eb2e8e4b,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
40827,"LOVED the fit and feel of this shirt.  However, it had a tear in the seam when it arrived and is Already unthreading even though I just got it out of the package less than 2 hours ago. :(",icyzone Workout Tank Tops for Women - Running Muscle Tank Sport Exercise Gym Yoga Tops Athletic Shirts,14.99,2.0,1bedd69e4346ae9ad52e269311734a8473b317f4273d1c9df55295f03107bdeb,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
11199,This came to me broken. The rope wasn't fully tied. I'll be finding a way to fix it. It's beautiful and I hope I can fix it.,SANWOOD Women Charm Bracelet Bangle Feather Beads Dried Flower Glaze Round Braided Rope Bracelet Jewelry Gift,0.98,2.0,d44e34ab27018e13919ece28b9c78ebbd5092173b3968210b8c13caf43571cfa,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
10426,"I happen to know a lot about sunglasses. If the polarization filters are even slightly askew--headache city. This was headache city in a matter of minutes.  I cannot say how many come this way, but this pair did.","Optic Nerve - 2022 Premium & Affordable Polarized Sport Sunglasses for Don'T Advertise, Targa Edition with Matte Demi Frame/Poalrized Brown Lens",39.99,1.0,d184e987e589fdcf9d7961970639507a5f1b507201f4f31032d6dbf63365e47b,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
46325,it never gave a size to order........ so these dont go up far enough for those of us with big calves.,Nurse Mates Womens 12-14 MMGH Compression Calf Socks,14.95,2.0,d1adaa78be94428485c6f647797eb2699a9abaed97ab553cc98a2b99e9515de3,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
9790,This came and looks pink and it's not great quality.,"SGT KNOTS 550 Paracord Mesh Bag - Quality, Reusable Polyester Bag for Gym, Laundry, Swimming",18.95,1.0,f6c3f8e3aa12b27fa6bba7660bdc9aea697fae6693de75f1080e7bb8465a7e62,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
56550,Ordered for a surprise party. I had to reoder all because sizes where very tight this suit had no stretch.,Angelaicos Unisex Red Jumpsuits Mask Halloween Party Costume Full Set,29.99,2.0,4b0e2c170b289225f39c1359de47abe9c752428772a78f42014b02cdde5c15c4,1,1,Incorrect Size / Fit,Full Refund,PROCESSED,gemini-2.5-pro
39943,Too big could fit a elephant,526Jeanswear 'SENJO' Mens Designer Branded Stretch Super Skinny Fit Jeans,41.99,1.0,dfb719de876e138597c7184f2c919c99a281f706d5ac7c95f2e6f01f9eed6ab0,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
44530,"It seems the sizing on the Internet are kind of on the small size.  In hindsight, I would order either one or two size larger.","Gerry Reversible Packable Down Vest for Women (M, Black/Graph Plaid)",19.99,2.0,1dce5c5ede771fdb381c350015d8d391832c074c2cf9fe27d87e59df1c0620ab,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
841,I'm about 6'1&#34; and 200lbs. I wouldn't call myself fat but skinny I am not. I usually wear a size large shirt and so I ordered a large. The length is about right but this shirt is clearly intended for an obese person. It will not fit you like the model in the picture. To take that picture the photographer pinned back the excess fabric. I wouldn't order this shirt in any size unless you're at least a good 50 lbs over weight.,"Russell Athletic Men's Dri-Power Fleece Hoodies & Sweatshirts, Moisture Wicking, Cotton Blend, Relaxed Fit, Sizes S-4X",31.24,2.0,edc8c9847fdc8365f998ff5302496f2791aa87fb5625947196703b09529f81ff,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
22468,Uncomfy fit with poor sole!,Hemlock Women High Heels Boots Plus Snow Calf Boots Wedge Heel Ankle Shoes Height Increase Slip On Heightened Booties,39.66,1.0,2150b3cab7c385988699f4eb7746bdcdb350af53422e69ba017163986b4bca78,1,1,Incorrect Size / Fit,Replacement,PROCESSED,gemini-2.5-pro
47083,Character design is stolen the owner has not given consent to mass produce terrible quality knockoffs.,Apricot Cat Bent legs Fursuit Fullsuit Teen Costumes Full Furry Suit Furries Costume Anime CUSTOM FOR Child Adult,799.0,1.0,8a8ca56f488540cdc7137e8cf4fc388164ab88ae492cbfd3c80bf46ac2fe91ce,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
25539,"Polyester has improved over the years, but not in this case.  The fabric is shiny and cheap-looking.  I cant believe it would be comfortable on a summer day!  The style is boxy and not flattering.  Not a keeper for me.",Riatobe Womens Button Down Shirts Formal Short Sleeve Stretch Plus Size Summer Blouse Shirt Yellow,23.99,1.0,d88c7fd88662b02d358bb1109832c48fea59e566b57e36ab30532227f86ebe0f,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
16357,"Pretty little earrings for a great price, however, earrings come in a plastic bag inside a padded envelope.  Great, except that the posts stick through the padded envelope and are totally bent down by the time they arrive in your mailbox.",FANTOM JEWELRY Sterling Silver 925 Princess Green Simulated Emerald Cubic Zirconia Stud Earrings 2.00 Carat,12.99,2.0,a1c4eee6a217721bf02fa43f2ad544dd29f62fac61913bb5310f3a5078f3aa15,1,1,Damaged or Defective,Replacement,PROCESSED,gemini-2.5-pro
22533,"This is not really lime-green.  It's a very very dull mint green, barely noticeable that it is green.  I am going to return it.",Moda Di Raza Adjustable bow tie For Men| Classic bowties men pre-tied |Wedding and Formal Occasion,8.99,2.0,8bc55203f46c22a5cf90fcc83aa6fcc4373f56b38e82c9186d30a2db04042038,1,1,Item Not as Described,Full Refund,PROCESSED,gemini-2.5-pro
